Modalidade;Transportadora;Cep Inicial;Cep Final;UF;    Frete    ;Prazo;     Peso Inicial     ;        Peso Final        ;  GRIS  ;ADVALOREM;ICMS;Taxa Peso Extra;Fator Cubagem;Origem
16;35;01000000;01099999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;01100000;01199999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;01200000;01299999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;01300000;01399999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;01400000;01499999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;01500000;01599999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02000000;02199999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02200000;02281999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02282000;02290030;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02300000;02318999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02319000;02359999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02360000;02399999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02400000;02699999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02700000;02799999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02801000;02883160;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02901000;02952125;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02952130;02954999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02955000;02979210;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02981000;02982999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02983000;02989900;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02990000;02998369;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;03000000;03199999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;03200000;03499999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;03500000;03799999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;03800000;03999999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04000000;04099999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04100000;04199999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04200000;04229999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04230000;04245999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04246000;04299999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04300000;04335999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04336000;04337999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04338000;04385999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04386000;04387360;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04400000;04499999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04500000;04599990;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04600000;04699999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04700000;04799999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04801000;04865065;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04900000;04948999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05000000;05099999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05100000;05179999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05180000;05187949;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05200000;05203999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05211000;05275010;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05275030;05283260;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05300000;05399999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05400000;05499999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05500000;05580999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05581000;05599999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05600000;05699999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05700000;05770999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05771000;05790450;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05792000;05798350;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05800000;05894460;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;06000000;06298970;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;06300000;06397670;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;06400000;06485370;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;06500000;06544900;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;06700000;06722560;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;06750001;06795070;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;06800001;06846835;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;07000000;07099999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;07100000;07274040;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;07400000;07443030;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;07700000;07794440;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;08000000;08191400;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;08200000;08380000;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;08410000;08491030;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;08500000;08545280;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;08550010;08599840;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;08600000;08696805;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;08710000;08747050;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09000000;09099999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09100000;09133200;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09152010;09152150;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09161210;09161380;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09162010;09162030;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09162060;09162090;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09162300;09162320;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09170000;09195780;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09210000;09291280;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09310000;09392300;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09400000;09414650;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09416000;09445760;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09510000;09599999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09600000;09699999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09700000;09793080;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09810000;09830970;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09831700;09832460;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09840000;09896530;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;09910000;09993335;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;01000000;01099999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;01100000;01199999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;01200000;01299999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;01300000;01399999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;01400000;01499999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;01500000;01599999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;02000000;02199999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;02200000;02281999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;02282000;02290030;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;02300000;02318999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;02319000;02359999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;02360000;02399999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;02400000;02699999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;02700000;02799999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;02801000;02883160;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;02901000;02952125;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;02952130;02954999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;02955000;02979210;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;02981000;02982999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;02983000;02989900;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;02990000;02998369;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;03000000;03199999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;03200000;03499999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;03500000;03799999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;03800000;03999999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04000000;04099999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04100000;04199999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04200000;04229999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04230000;04245999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04246000;04299999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04300000;04335999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04336000;04337999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04338000;04385999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04386000;04387360;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04400000;04499999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04500000;04599990;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04600000;04699999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04700000;04799999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04801000;04865065;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04900000;04948999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05000000;05099999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05100000;05179999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05180000;05187949;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05200000;05203999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05211000;05275010;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05275030;05283260;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05300000;05399999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05400000;05499999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05500000;05580999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05581000;05599999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05600000;05699999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05700000;05770999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05771000;05790450;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05792000;05798350;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05800000;05894460;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;06000000;06298970;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;06300000;06397670;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;06400000;06485370;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;06500000;06544900;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;06700000;06722560;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;06750001;06795070;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;06800001;06846835;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;07000000;07099999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;07100000;07274040;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;07400000;07443030;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;07700000;07794440;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;08000000;08191400;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;08200000;08380000;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;08410000;08491030;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;08500000;08545280;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;08550010;08599840;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;08600000;08696805;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;08710000;08747050;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09000000;09099999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09100000;09133200;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09152010;09152150;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09161210;09161380;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09162010;09162030;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09162060;09162090;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09162300;09162320;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09170000;09195780;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09210000;09291280;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09310000;09392300;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09400000;09414650;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09416000;09445760;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09510000;09599999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09600000;09699999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09700000;09793080;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09810000;09830970;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09831700;09832460;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09840000;09896530;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;09910000;09993335;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;01000000;01099999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;01100000;01199999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;01200000;01299999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;01300000;01399999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;01400000;01499999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;01500000;01599999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;02000000;02199999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;02200000;02281999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;02282000;02290030;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;02300000;02318999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;02319000;02359999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;02360000;02399999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;02400000;02699999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;02700000;02799999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;02801000;02883160;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;02901000;02952125;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;02952130;02954999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;02955000;02979210;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;02981000;02982999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;02983000;02989900;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;02990000;02998369;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;03000000;03199999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;03200000;03499999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;03500000;03799999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;03800000;03999999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;04000000;04099999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;04100000;04199999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;04200000;04229999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;04230000;04245999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;04246000;04299999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;04300000;04335999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;04336000;04337999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;04338000;04385999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;04386000;04387360;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;04400000;04499999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;04500000;04599990;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;04600000;04699999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;04700000;04799999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;04801000;04865065;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;04900000;04948999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;05000000;05099999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;05100000;05179999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;05180000;05187949;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;05200000;05203999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;05211000;05275010;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;05275030;05283260;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;05300000;05399999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;05400000;05499999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;05500000;05580999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
